"","fly_id","genotype","caff_amount","time","event"
"1",51,"w1118",7.5,63.5,1
"2",52,"w1118",7.5,87.5,1
"3",53,"w1118",7.5,135.5,1
"4",54,"w1118",7.5,135.5,1
"5",55,"w1118",7.5,147.5,1
"6",56,"w1118",7.5,75.5,1
"7",57,"w1118",7.5,75.5,1
"8",58,"w1118",7.5,75.5,1
"9",59,"w1118",7.5,99.5,1
"10",60,"w1118",7.5,123.5,1
"11",61,"w1118",7.5,39.5,1
"12",62,"w1118",7.5,75.5,1
"13",63,"w1118",7.5,87.5,1
"14",64,"w1118",7.5,99.5,1
"15",65,"w1118",7.5,123.5,1
"16",66,"pdf01",7.5,147.5,1
"17",67,"pdf01",7.5,147.5,1
"18",68,"pdf01",7.5,147.5,1
"19",69,"pdf01",7.5,159.5,1
"20",70,"pdf01",7.5,195.5,1
"21",71,"pdf01",7.5,159.5,1
"22",72,"pdf01",7.5,171.5,1
"23",73,"pdf01",7.5,171.5,1
"24",74,"pdf01",7.5,171.5,1
"25",75,"pdf01",7.5,171.5,1
"26",76,"pdf01",7.5,111.5,1
"27",77,"pdf01",7.5,147.5,1
"28",78,"pdf01",7.5,147.5,1
"29",79,"pdf01",7.5,171.5,1
"30",80,"pdf01",7.5,195.5,1
"31",81,"pdf01",7.5,123.5,1
"32",82,"pdf01",7.5,135.5,1
"33",83,"pdf01",7.5,147.5,1
"34",84,"pdf01",7.5,147.5,1
"35",85,"pdf01",7.5,171.5,1
"36",86,"pdf/Df",7.5,123.5,1
"37",87,"pdf/Df",7.5,123.5,1
"38",88,"pdf/Df",7.5,123.5,1
"39",89,"pdf/Df",7.5,159.5,1
"40",90,"pdf/Df",7.5,183.5,1
"41",91,"pdf/Df",7.5,99.5,1
"42",92,"pdf/Df",7.5,147.5,1
"43",93,"pdf/Df",7.5,147.5,1
"44",94,"pdf/Df",7.5,159.5,1
"45",95,"pdf/Df",7.5,171.5,1
"46",96,"pdf/Df",7.5,111.5,1
"47",97,"pdf/Df",7.5,111.5,1
"48",98,"pdf/Df",7.5,147.5,1
"49",99,"pdf/Df",7.5,171.5,1
"50",100,"pdf/Df",7.5,183.5,1
"51",101,"pdf/Df",7.5,111.5,1
"52",102,"pdf/Df",7.5,111.5,1
"53",103,"pdf/Df",7.5,147.5,1
"54",104,"pdf/Df",7.5,147.5,1
"55",105,"pdf/Df",7.5,159.5,1
